address,clinic,phone,hours,services
"г Москва, Кутузовский пр-кт, д.1/7, оф.147 (м.Киевская,Смоленская)",ООО «Альянс Медикаль»,т.:79153527797,"пн-пт 09:00-18:00, сб 09:00-18:00",Амбулаторно-поликлиническое обслуживание
"Московская обл, г Подольск, ул Большая Серпуховская, д.33",ООО «Витакор»,т.:8 495 1086632,"пн-пт 08:00-20:00, сб-вс 09:00-19:00",Амбулаторно-поликлиническое обслуживание
"г Москва, ул Автозаводская, д.16, корп.2",ООО «МАК»,т.:84951652555,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание
"г Москва, ул Лукинская, д.14, корп.1 (м.Новопеределкино,Рассказовка)",ООО «МедиАрт»,т.:8 495 2876000 8 499 7305493 8 499 7305481,"пн-пт 08:00-20:00, сб 09:00-20:00, вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание
"г Москва, ул Шолохова, д.5",ООО «МедиАрт»,т.:84952876000,"пн-пт 08:00-20:00, сб 09:00-20:00, вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание
"Москва, Боровское ш, д.30 (м. Боровское шоссе,Новопеределкино)",ООО «МедиАрт»,т.:8 495 2876000 8 495 733 52 30 8 495 733 52 31,"пн-пт 08:00-20:00, сб 09:00-20:00, вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание
"Москва, Боровское ш, д.56 (м. Новопеределкино,Рассказовка)",ООО «МедиАрт»,т.:8 495 2876000 8 495 7335228,"пн-пт 08:00-20:00, сб 09:00-20:00, вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание
"Москва, Внуковское п, Самуила Маршака ул, д.20 (м.Охотный ряд, Площадь Революции)",ООО «МедиАрт»,т.:8 495 287 60 00 8 495 803 43 90,"пн-пт 08:00-20:00, сб 09:00-20:00, вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание
"Москва, Шолохова ул, д.30 (м. Новопеределкино,Рассказовка)",ООО «МедиАрт»,,,Амбулаторно-поликлиническое обслуживание
"г Москва, Ленинградское шоссе, д. 47А (м.Водный стадион,Речной вокзал)",ООО «МЕДСКАН»,т.:8 495 122 03 03,круглосуточно,Амбулаторно-поликлиническое обслуживание
"г Москва, ул Обручева, д.21А (м. Беляево,Калужская)",ООО «МЕДСКАН»,т.:8 495 122 03 03,круглосуточно,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Красногорск, деревня Глухово, ул Центральная, д. 34А",ООО «МЕДСКАН»,т.:8 495 122 03 03,круглосуточно,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Коломна, г Коломна, ул Ленина, д.43А",ООО «Неомакс»,т.:84966100500,"пн-пт 07:30-20:00, сб 07:30-20:00, вс 07:30-18:00",Амбулаторно-поликлиническое обслуживание
"Московская обл, г Воскресенск, г Воскресенск, ул Хрипунова, д.8",ООО «НЕОМЕД М»,"т.:8 496 4496525, 8 915 2747144","пн-пт 09:00-20:00, сб-вс 09:00-16:00",Амбулаторно-поликлиническое обслуживание
"г Москва, ул Большая Полянка, д.56, корп.11",ООО «ПРИОР КЛИНИКА»,т.:84956256321,"пн-пт 09:00-20:00, сб 09:00-17:00",Амбулаторно-поликлиническое обслуживание
"Московская обл, г Лобня, ул Борисова, д.24, оф.2",ООО «Семейный медицинский центр «Здоровье»,т.:8495 1509917,"пн-пт 08:00-20:00, сб 08:00-20:00, вс 09:00-15:00",Амбулаторно-поликлиническое обслуживание
"Московская обл, г Лобня, ул Ленина, д.23, корп.1, оф.003",ООО «Семейный медицинский центр» Здоровье»,т.:8495 1509917,"пн-пт 08:00-20:00, сб 08:00-20:00, вс 09:00-15:00",Амбулаторно-поликлиническое обслуживание
"г Москва, пр-кт 60-летия Октября, д. 11а, корп.14 (м.Ленинский проспект, Площадь Гагарина)",ООО «Скорая Помощь «Альфа Медицина»,т.:8495 222 45 03,пн-пт 10:00-22:00,Амбулаторно-поликлиническое обслуживание
"г Москва, Ленинский пр-кт, д.77, корп.1 (м.Профсоюзная,Университет)",ООО «СМП МЕД»,т.:8 499 4507067,,Амбулаторно-поликлиническое обслуживание
"г Москва, ул Большая Академическая, д.39, корп.3, оф.3",ООО «Центр таргетной терапии»,т.:84953200666,пн-пт 09:00-20:00,Амбулаторно-поликлиническое обслуживание
"г Москва, ул Шипиловская, д.1",ООО «Юниверсал»,т.:84950320707,пн-вс 08:00-17:00,Амбулаторно-поликлиническое обслуживание
"г Москва, проезд Берёзовой Рощи, д. 12 (м.Зорге,ЦСКА)",ООО Клиника «Ортоспайн»,т.:84994902863,пн-пт 08:00-18:00,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Раменское, ул Дергаевская, д.26",ООО Центр Традиционной и Восточной Медицины «Пять Элементов»,т.:84994951345 849646 50505,"пн-пт 08:00-20:00, сб 08:00-18:00",Амбулаторно-поликлиническое обслуживание
"Московская обл, г Звенигород, г Одинцово",ФГАОУ ВО Первый МГМУ им.И. М. Сеченова Минздрава России (Сеченовский Университет),"т.:84994508889, 84954886538",,Амбулаторно-поликлиническое обслуживание
"г Москва, Абрикосовский пер, д.2 (м. Спортивная,Фрунзенская)",ФГБНУ «Российский научный центр хирургии имени академика Б.В.Петровского,т.:84992469563,,Амбулаторно-поликлиническое обслуживание
"г Москва, г Троицк, Октябрьский пр-кт, д.3",ФГБНУ «Российский научный центр хирургии имени академика Б.В.Петровского,"т.:84958512874, 89166413132",,Амбулаторно-поликлиническое обслуживание
"г Москва, Ломоносовский пр-кт, д.27, корп.10 (м.Ломоносовский проспект, Раменки)",ФГБОУ ВО «Московский государственный университет имени М.В.Ломоносова»,т.:84955312776,пн-пт 09:00-17:00,Амбулаторно-поликлиническое обслуживание
"г Москва, ул Онежская, д.18, корп.4 (м.Коптево,Лихоборы)","ФГБУ ""Федеральный научно-клинический центр космической медицины и биологии"" ФМБА России",т.:84955287736,"пн-пт 08:00-20:30, сб 08:30-14:00",Амбулаторно-поликлиническое обслуживание
"г Москва, ул Сущёвский Вал, д.24 (м. Марьина роща,Савёловская)","ФГБУ ""Федеральный научно-клинический центр космической медицины и биологии"" ФМБА России",т.:84999720353,"пн-пт 08:00-20:30, сб 08:30-14:00",Амбулаторно-поликлиническое обслуживание
"Московская обл, г Королёв, ул Богомолова, д.11","ФГБУ ""Федеральный научно-клинический центр космической медицины и биологии"" ФМБА России","т.:84994270985, 84994270993","пн-пт 08:00-18:00, сб 09:00-14:00",Амбулаторно-поликлиническое обслуживание
"Московская обл, г Реутов, ул Железнодорожная, д.7А, корп.2 (м. Новогиреево,Новокосино)","ФГБУ ""Федеральный научно-клинический центр космической медицины и биологии"" ФМБА России",т.:84955287736,"пн-пт 08:00-19:00, сб 08:00-14:00",Амбулаторно-поликлиническое обслуживание
"г Москва, ул Малая Пироговская, д.1А (м.Парк культуры,Фрунзенская)","ФГБУ ""Федеральный научно-клинический центр физико-химической медицины им. Ю.М. Лопухина Федерального медико-биологического агентства""",т.:84992464371,"пн-пт 08:00-19:00, сб 10:00-15:00",Амбулаторно-поликлиническое обслуживание
"Московская обл, Одинцово, Одинцовский р-н, Красногорское ш, д.15","ФГБУ ""Федеральный научно-клинический центр физико-химической медицины им. Ю.М. Лопухина Федерального медико-биологического агентства""",т.:84955931266,,Амбулаторно-поликлиническое обслуживание
"Москва, Староволынская ул, д.10 (м. Минская,Славянский бульвар)",ФГБУ «Клиническая больница №1» Управления делами Президента Российской Федерации,"т.:8, 0020, 00 499 2330000","пн-пт 08:00-20:00, сб 08:00-20:00, вс 09:00-15:00",Амбулаторно-поликлиническое обслуживание
"г Москва, ул Лосиноостровская, д.45 (м.Белокаменная,Ростокино)",ФГБУ «Клиническая больница» УДП РФ,,,Амбулаторно-поликлиническое обслуживание
"г Москва, ул Абельмановская, д.4",ФГБУ «Федеральный клинический центр высоких медицинских технологий федерального медико-биологического агентства»,т.:84956761611,,Амбулаторно-поликлиническое обслуживание
"г Москва, ул Новозаводская, д.14А",ФГБУ «Федеральный клинический центр высоких медицинских технологий федерального медико-биологического агентства»,"т.:84997498034, 84997498950",,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Химки, ул 8 Марта, д.3а",ФГБУ «Федеральный клинический центр высоких медицинских технологий федерального медико-биологического агентства»,т.:84955726739,,Амбулаторно-поликлиническое обслуживание
"Московская обл, г Химки, ул Ленинградская, д.25",ФГБУ «Федеральный клинический центр высоких медицинских технологий федерального медико-биологического агентства»,т.:84955737388,"пн-пт 08:00-20:00, сб 09:00-14:00",Амбулаторно-поликлиническое обслуживание
"Московская обл, г Орехово-Зуево, г Орехово-Зуево, ул Ленина, д.22",Частное учреждение здравоохранения «Поликлиника «РЖД-Медицина» города Орехово-Зуево»,т.:84964150118,"пн-пт 08:00-19:00, сб 09:00-13:00",Амбулаторно-поликлиническое обслуживание
"г Москва, ул Будайская, д.2 (м. Ростокино,Улица Сергея Эйзенштейна)",ЧУЗ «ЦКБ «РЖД-Медицина»,т.:84957270003,"пн-пт 08:00-20:00, сб 08:00-18:00",Амбулаторно-поликлиническое обслуживание
"Москва, Волоколамское ш, д.84 (м. Спартак,Щукинская)",ЧУЗ «ЦКБ «РЖД-Медицина»,,,Амбулаторно-поликлиническое обслуживание
"г Москва, ул Гиляровского, д.10, корп. 1 (м.Проспект Мира)","АО ""Семейная Клиника ""Здоровье и материнство"" (АО ""Семейная Клиника ""ЗИМ"")",т.:+7 495 9373003,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул 1-я Аэропортовская, д.5 (м.Аэропорт,Сокол)","АО ""ЦП на Ленинградке""",т.:8495 1506001,"пн-пт 08:00-20:00, сб 09:00-19:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул 1-я Аэропортовская, д.5 (м.Аэропорт,Сокол)","АО ""ЦП на Ленинградке"" (VIP отделение)",т.:8495 1506001 доб 140,"пн-пт 08:00-20:00, сб 09:00-19:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Мытная, д.19 (м. Тульская,Шаболовская)",АО «Гознак»,т.:8495 7440762,"пн-пт 08:00-20:00, сб 08:00-14:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, Чонгарский б-р, д.5, корп.2 (м.Варшавская,Севастопольская)",АО «Группа компаний «Медси»,т.:8495 7800500,"пн-пт 08:00-21:00, сб 09:00-20:00, вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, Благовещенский пер, д.6, корп.1 (м.Маяковская,Тверская)",АО «Группа компаний «Медси» в Благовещенском,т.:8495 7800500,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Старокачаловская, д.3, корп.3 (м.Бульвар Дмитрия Донского, Улица Старокачаловская)",АО «Группа компаний «Медси» в Бутово,т.:8495 7800500,"пн-пт 08:00-21:00, сб-вс 09:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Долгопрудный, Старое Дмитровское шоссе, д.15, корп.1",АО «Группа компаний «Медси» в Долгопрудном,т.:8 495 7800500,пн-вс 08:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Домодедово, мкр Центральный, ул Каширское шоссе, д. 57",АО «Группа компаний «Медси» в Домодедово,т.:495 7800500,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Котельники, ул Сосновая, д.5, оф.6 (м.Жулебино, Котельники)",АО «Группа компаний «Медси» в Котельниках,т.:8495 7800500,"пн-пт 08:00-21:00, сб-вс 09:00-15:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Красногорск, ул Успенская, д.5 (м.Митино,Пятницкое шоссе)",АО «Группа компаний «Медси» в Красногорске,т.:8 495 7800500,"пн-пт 08:00-21:00, сб-вс 09:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Люберцы, рп Малаховка, ул Пушкина, д.14",АО «Группа компаний «Медси» в Малаховке,т.:8 495 7800500,пн-вс 08:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Маршала Голованова, д. 1, корп.2 (м.Братиславская,Марьино)",АО «Группа компаний «Медси» в Марьино,т.:8495 7800500,"пн-пт 08:00-21:00, сб-вс 09:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Дубравная, д.33 (м. Митино,Пятницкое шоссе)",АО «Группа компаний «Медси» в Митино на Дубравной,т.:84957800500,"пн-пт 08:00-21:00, сб-вс 09:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Одинцово, г Одинцово, ул Молодежная, д.25",АО «Группа компаний «Медси» в Одинцово,т.:8495 7800500,"пн-пт 08:00-21:00, сб-вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Красногорск, поселок Отрадное, д.2 (м.Митино, Пятницкое шоссе)",АО «Группа компаний «Медси» в Отрадном,т.:8495 7800500,"пн-пт 08:00-20:00, сб-вс 09:00-15:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Реутов, ул Реутовских ополченцев, д.6 (м. Новогиреево,Новокосино)",АО «Группа компаний «Медси» в Реутове,т.:84957800500,"пн-пт 08:00-20:00, сб-вс 09:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Кулакова, д.16, корп.1 (м. Мякинино,Строгино)",АО «Группа компаний «Медси» в Строгино,т.:84957800500,"пн-пт 08:00-21:00, сб-вс 09:00-16:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Ступино, ул Андропова, д.48/22",АО «Группа компаний «Медси» в Ступино,т.:8495 7800500,"пн-пт 08:00-20:00, сб-вс 08:00-16:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Ступино, ул Андропова, д.64",АО «Группа компаний «Медси» в Ступино,"т.:84957800500, 84966423767, 84966422745","пн-пт 08:00-20:00, сб-вс 08:00-16:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Ступино, ул Службина, д.2",АО «Группа компаний «Медси» в Ступино,"т.:8 49664 72113, 72140, 89104015551","пн-пт 08:00-20:00, сб-вс 08:00-16:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Химки, пр-кт Мельникова, д.5, корп.1",АО «Группа компаний «Медси» в Химках,т.:84957800500,"пн-пт 08:00-21:00, сб-вс 09:00-16:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, 3-й Хорошёвский проезд, д. 1, корп.2 (м.Беговая,Хорошёвская)",АО «Группа компаний «Медси» в Хорошевском проезде,т.:8 495 7 800500,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Поляны, д.5 (м.Бульвар адмирала Ушакова,Улица Скобелевская)",АО «Группа компаний «Медси» в Южном Бутово,т.:8495 7800500,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, пр-кт Мира, д.26, корп.6 (м. Алексеевская,ВДНХ)",АО «Группа компаний «Медси» КДЦ «МЕДСИ» в Грохольском переулке,т.:8495 7800500,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Щёлково, ул Заречная, д.8, корп.2",АО «Группа компаний «Медси» КДЦ «Медси» в Щелково,т.:84957800500,"пн-пт 08:00-21:00, сб 08:00-21:00, вс 08:08-19:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, Грузинский пер, д.3А (м. Белорусская)",АО «Группа компаний «Медси» КДЦ «МЕДСИ» на Белорусской,т.:84957800500,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Красная Пресня, д.16/2, корп.1 (м.Краснопресненская,Улица 1905 года)",АО «Группа компаний «Медси» КДЦ «МЕДСИ» на Красной Пресне,т.:8495 7800500,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, Мичуринский пр-кт, д.56, корп.1 (м.Мичуринский проспект, Раменки)",АО «Группа компаний «Медси» КДЦ «МЕДСИ» на Мичуринском проспекте,т.:8495 7800500,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Солянка, д.12, корп.1 (м. Китай-город)",АО «Группа компаний «Медси» КДЦ «МЕДСИ» на Солянке,т.:8495 7800500,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Перерва, д.53 (м. Братиславская,Люблино)",АО «Группа компаний «Медси» КДЦ в Марьино,т.:8495 7800500,"пн-пт 08:00-21:00, сб-вс 09:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, Чонгарский б-р, д.5, корп.2 (м.Варшавская,Севастопольская)",АО «Группа компаний «Медси» Клиника МЕДСИ на Варшавской,т.:84957800500,пн-вс 07:30-22:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, Северный б-р, д.2 (м. Бибирево,Отрадное)",АО «Группа компаний «Медси» Клиника Медси СмартЛаб на Северном Бульваре,т.:8 495 7800500,пн-вс 08:00-18:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Авиационная, д.77, корп. 2 (м.Спартак,Щукинская)",АО «Группа компаний «Медси» на Авиационной,,"пн-пт 08:00-21:00, сб-вс 09:00-15:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, Астрадамский проезд, д.4А, корп.1 (м.Дмитровская, Тимирязевская)",АО «Группа компаний «Медси» на Астрадамском,т.:84957800500,"пн-пт 08:00-21:00, сб 09:00-20:00, вс 09:00-19:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, 2-й Боткинский проезд, д.5, корп.3, оф.4 (м.Беговая,Динамо)",АО «Группа компаний «Медси» на Боткинском проезде,т.:8495 7800500,пн-вс 08:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Гамалеи, д.18 (м. Стрешнево,Щукинская)",АО «Группа компаний «Медси» на Гамалеи,т.:84957800500,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, Дмитровское шоссе, д.107А, корп.4 (м.Верхние Лихоборы, Селигерская)",АО «Группа компаний «Медси» на Дмитровском шоссе,т.:84957800500,"пн-пт 08:00-21:00, сб-вс 09:00-15:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Дубининская, д.57, корп. 5, оф.8 (м.Павелецкая,Серпуховская)",АО «Группа компаний «Медси» на Дубининской,т.:8495 7800500,"пн-пт 08:00-21:00, сб 09:00-21:00, вс 09:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Дубнинская, д.10, корп.1 (м.Верхние Лихоборы,Селигерская)",АО «Группа компаний «Медси» на Дубнинской,т.:495 7800500,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, Зелёный пр-кт, д.7",АО «Группа компаний «Медси» на Зеленом проспекте,т.:84957800500,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"Московская обл, г Красногорск, Ильинский б-р, д.7 (м.Волоколамская, Мякинино)",АО «Группа компаний «Медси» на Ильинском бульваре,т.:8495 7800500,"пн-пт 08:00-21:00, сб 09:00-18:00, вс 09:00-16:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Краснобогатырская, д.90, корп.2 (м.Бульвар Рокоссовского, Преображенская площадь)",АО «Группа компаний «Медси» на Краснобогатырской,т.:8495 7800500,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, Лазоревый проезд, д.1А, корп.2 (м.Ботанический сад)",АО «Группа компаний «Медси» на Лазоревом,т.:84957800500,"пн-пт 08:00-20:00, сб 08:00-20:00, вс 08:00-07:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, Ленинградский пр-кт, д.52 (м.Аэропорт,ЦСКА)",АО «Группа компаний «Медси» на Ленинградском проспекте,т.:8495 7800500,"пн-пт 08:00-21:00, сб 08:00-21:00, вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, ул Ленинская Слобода, д.26 (м.Автозаводская)",АО «Группа компаний «Медси» на Ленинской слободе,т.:84957800500,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
"г Москва, Ленинский пр-кт, д.20, корп.1 (м.Площадь Гагарина, Шаболовская)",АО «Группа компаний «Медси» на Ленинском проспекте,т.:8495 7800500,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники
